id;nome_cliente;partita_iva;indirizzo;tipo
1;Card;integrate;generating integrate Surinam;Via virtuali
2;Attitudine Quality sistematica;Home;Fantastic Central Usability;e-services transmitter synthesize
3;digital;Cheese;driver;Ringgit payment blue
4;tan Central indexing;navigate totale;Intelligent Cambridgeshire centralizzata;invoice
5;orange East;Loan monetizzate Ball;calculating online;Chicken
6;Cambridgeshire deposit payment;Car Account;schemi;sinergizzate Frame
7;Investment Tuna Orchestrator;Director;Jewelery Strada payment;Table Salad Loan
8;Engineer Security Wooden;Architect verticalizzate;Bike bypassing;integrate
9;HTTP Administrator;Parallelismo Rubber;calculating card invoice;nicchie Interactions
10;capacitor Agent Trinidad;Account Cambridgeshire adattiva;interface Small trasparenti;bus
