id;numero_fattura;rag_sociale;imponibile;iva;stato;data_emissione;data_pagamento
1;52112;Marketing Identity;6637;62937;PAGATA;2022-01-22T15:03:07;2022-01-23T06:06:30
2;18948;Steel relazioni Supervisor;18765;45089;PAGATA;2022-01-22T11:58:03;2022-01-22T16:23:44
3;50064;Oro;26399;16021;NON_PAGATA;2022-01-23T10:45:29;2022-01-22T15:57:11
4;36689;invoice monitor;45564;72944;NON_PAGATA;2022-01-22T15:16:25;2022-01-23T06:27:18
5;67159;Dinar;99335;84876;NON_PAGATA;2022-01-23T09:34:13;2022-01-22T12:12:56
6;83722;copying Granite Venezia;25312;10023;NON_PAGATA;2022-01-23T00:20:11;2022-01-23T10:44:40
7;71855;Wooden;57675;67923;PAGATA;2022-01-22T18:02:39;2022-01-23T06:52:53
8;835;Principal;36422;81104;NON_PAGATA;2022-01-22T23:22:52;2022-01-22T18:15:18
9;20949;deposit Configuration;41871;12543;PAGATA;2022-01-22T23:33:06;2022-01-22T16:08:49
10;8194;supply-chains;88730;25672;PAGATA;2022-01-23T00:56:00;2022-01-23T00:32:47
