id;numero_fattura;rag_sociale;imponibile;iva;stato;data_emissione;data_pagamento
1;95476;Strada silver monitor;43398;80388;NON_PAGATA;2022-01-22T16:04:50;2022-01-22T20:42:19
2;14917;Human;41496;76102;NON_PAGATA;2022-01-23T07:48:43;2022-01-23T03:53:14
3;39917;metodologie;76746;40624;NON_PAGATA;2022-01-22T11:54:45;2022-01-23T08:34:53
4;53977;Salad;71205;32437;NON_PAGATA;2022-01-22T13:23:26;2022-01-23T07:25:21
5;27615;Dominicana;41738;54314;NON_PAGATA;2022-01-23T06:39:06;2022-01-22T18:03:42
6;34308;scalabile;72517;5328;NON_PAGATA;2022-01-22T17:07:08;2022-01-23T03:39:01
7;25706;biforcata lavoro Frozen;93839;78637;PAGATA;2022-01-23T05:50:34;2022-01-22T11:36:53
8;89105;Sondrio Movies Intelligent;16956;34079;PAGATA;2022-01-23T01:11:25;2022-01-22T14:31:58
9;15553;contenuti;35871;26772;PAGATA;2022-01-22T11:49:23;2022-01-23T06:14:26
10;5742;invoice;69107;82008;NON_PAGATA;2022-01-23T08:07:43;2022-01-22T22:31:47
